Job_title,Company_name,Job_location,Salary,Job_time
Senior Product Designer,CloudTech Services,"Chakupat ,Lalitpur",Negotiable,Not-provided
Senior Software Engineer-Quality Control,ComplianceQuest,"Lalitpur District, Nepal",Negotiable,Not-provided
Senior AI Engineer,AMNIL Technologies Pvt. Ltd.,"Kathmandu, Nepal",Negotiable,Not-provided
Software Engineer (.Net),Verisk,Nepal,Negotiable,Not-provided
Information Security Officer,"Nepal Investment Mega Bank Limited,",Bagmati Province,Negotiable,Not-provided
IT Network and Security Administrator,"Nepal Investment Mega Bank Limited, NIMB",Bagmati Province,Negotiable,Not-provided
"Senior Software Engineer, Core Experiences - Kathmandu, Nepal",Speechify,"Kathmandu, Nepal",Negotiable,Not-provided
Content Editor,D Group Education Consultancy Pvt. Ltd.,"Kathmandu, Nepal",Negotiable,Not-provided
"Software Engineer, Data Infrastructure & Acquisition - Kathmandu, Nepal",Speechify,"Kathmandu, Nepal",Negotiable,Not-provided
"Software Engineer, Platform - Kathmandu, Nepal",Speechify,"Kathmandu, Nepal",Negotiable,Not-provided
"Computer Operator, Surveyor, Survey Officer",Ishworpur Nagarpalika,Madhesh Province,Negotiable,Not-provided
Ruby Engineer,SME Careers,Nepal,Negotiable,Not-provided
Go Engineer,SME Careers,Nepal,Negotiable,Not-provided
Kotlin Engineer,SME Careers,Nepal,Negotiable,Not-provided
Senior AI Developer,TechKraft Inc.,"Kathmandu, Nepal",Negotiable,Not-provided
PHP Engineer,SME Careers,Nepal,Negotiable,Not-provided
React Native Engineer,SME Careers,Nepal,Negotiable,Not-provided
C++ Engineer,SME Careers,Nepal,Negotiable,Not-provided
Android Engineer (Kotlin and Java),SME Careers,Nepal,Negotiable,Not-provided
Swift Engineer,SME Careers,Nepal,Negotiable,Not-provided
TypeScript Engineer,SME Careers,Nepal,Negotiable,Not-provided
Java Engineer,SME Careers,Nepal,Negotiable,Not-provided
Dashboard Developer,PLS,Nepal,Negotiable,Not-provided
Mobile App Developer,Odixcity Consulting,Nepal,Negotiable,Not-provided
JavaScript Engineer,SME Careers,Nepal,Negotiable,Not-provided
Trainee Assistant – Information Technology,Nepal Investment Mega Bank Limited,Bagmati Province,Negotiable,Not-provided
Oracle Database Administrator,Nepal Investment Mega Bank Limited,Bagmati Province,Negotiable,Not-provided
Full Stack Developer (Backend),Code Mantra,"Lazimpat, Kathmandu",Negotiable,Not-provided
Senior Full Stack Developer (Frontend),Code Mantra,"Lazimpat, Kathmandu",Negotiable,Not-provided
