Job_title,Company_name,Required_time_experience,Salary,Job_location,Skill
IT Infrastructure,DMart,2-4 Yrs,2-4 Lacs PA,Mumbai,"Endpoint, Infrastructure, Patch Management, Infrastructure Management, Server Management, IT Infrastructure, IT Operations, Serv"
Data Scientist,Fractal Analytics,8-12 Yrs,15-25 Lacs PA,"Pune, Bengaluru, Mumbai (All Areas)","Artificial Intelligence, AIML, Machine Learning, Deep Learning, Python, Data, Intelligence, Machine"
Azure Data Engineer,Tata Consultancy Services,5-10 Yrs,Not Provided,"Mumbai, Hyderabad, Gurugram","Azure Data Factory, Microsoft Azure, Machine Learning, Data Bricks, Python, SQL, Bricks, Factory"
Analyst,eClerx,0-2 Yrs,Not Provided,Navi Mumbai,"python, data analytics, data validation, bi, seismic, power bi, business analytics, monitoring"
SAP Advanced Business Application Programming (ABAP) For non-HANA,Tata Consultancy Services,10-12 Yrs,Not Provided,"Pune, Bengaluru, Mumbai (All Areas)","sap abap non hana, Implementation Cycle, Abap, SAP Hana, SAP ABAP, Programming, SAP Knowledge, Application"
SF EC Design Lead,Capgemini,8-13 Yrs,15-25 Lacs PA,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)","Workflow Analysis, Position Management, Configuration, Employee Central, Time Off, Mdf, ECS, Design"
Lead Data Architect,Hdfc Bank,11-17 Yrs,Not Provided,"Hybrid - Mumbai, Bengaluru","Data Engineering, Cloud, Data Architecture, Data Modeling, Ai Platform, Airflow, Pyspark, Artificial Intelligence"
Java Full Stack Developer,Tata Consultancy Services,5-10 Yrs,Not Provided,"Pune, Chennai, Mumbai (All Areas)","Java, Spring Boot, Microservices, CSS, Full Stack, J2Ee, HTML, Java Fullstack"
Flutter Developer | 6 - 12 Years,Capgemini,6-11 Yrs,Not Provided,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)","Mobile Development, Flutter, Dart, Flutter Development, Development"
"Edge Integration (AWS, Kubernetes, OpenShift)",Tata Consultancy Services,8-13 Yrs,Not Provided,"Pune, Bengaluru, Mumbai (All Areas)","OpenShift, AWS, Kubernetes, Edge Integration Cell, Edge, Cell, Integration"
Senior Python Dev+ Azure,Tata Consultancy Services,7-11 Yrs,Not Provided,"Gurugram, Bengaluru, Mumbai (All Areas)","Azure Cloud, Python Development, Python, Cloud, Development, Senior, Microsoft Azure"
SSO KAFKA Developer,Tata Consultancy Services,6-9 Yrs,Not Provided,"Mumbai, Hyderabad, Bengaluru","Confluent Kafka, SSO, SSO Kafka, kafka, Kafka Streams, Confluent, Development, Streams"
"Java_Microservices, Spring Boot and Camunda Support",Tata Consultancy Services,5-10 Yrs,Not Provided,"Chennai, Bengaluru, Mumbai (All Areas)","Java, Spring Boot, Microservices, Kafka, AWS, Camunda Bpm, Boot, Spring"
Azure Solution Architect,Tata Consultancy Services,8-11 Yrs,Not Provided,"Chennai, Bengaluru, Mumbai (All Areas)","Azure Networking, Disaster Recovery, Security, Azure Service, Networking, Architecture, Disaster Recover, Recovery"
"Sr. Analyst, Supply Chain Development",A.P. Moller Maersk,5-10 Yrs,Not Provided,Mumbai,"Supply chain, Drilling, global operations, Solution sales, Quantitative research, Analytical, Employee engagement, Visio"
Senior Java Backend Developer,Atos,7-12 Yrs,11-21 Lacs PA,"Hybrid - Chennai, Bengaluru, Mumbai (All Areas)","Java, Hibernate, Multithreading, Design Patterns, Oops, Spring Boot, J2EE, Webservices"
Guidewire Integration Developer,PwC Service Delivery Center,4-9 Yrs,Not Provided,"Hybrid - Hyderabad, Pune, Bengaluru","Guidewire Integration, Software Engineering, Gosu, Guidewire Development, Software Design, Gosu Scripting, Guidewire, Engineering"
Senior IBM MQ Administration,Atos,8-13 Yrs,15-30 Lacs PA,"Hybrid - Chennai, Bengaluru, Mumbai (All Areas)","Upgradation, MQ, Message Queue, IBM MQ, migration, Administration, Queue, Senior"
Product & Platform Engineering - Analyst,Accenture,5-10 Yrs,Not Provided,Mumbai,"Product & Platform Engineering, Product Management, Architecture, Chef, Software Architecture, Programming, Jmeter, Jira"
SAP CO Hana Professional,Capgemini,8-13 Yrs,Not Provided,"Mumbai, Pune, Bangalore/Bengaluru","sap co, sap, sap fi, asset accounting, accounting, sap hana, Cost Center Accounting, Cost"
Database Administrator,Tata Consultancy Services,8-13 Yrs,Not Provided,"Hyderabad, Pune, Bengaluru","Database Administration, db2, Aws Aurora, Administration, DBMS, AWS"
Active Directory Administrator,Tata Consultancy Services,10-18 Yrs,Not Provided,"Noida, Hyderabad, Pune","Azure Active Directory, Active Directory Administration, Group Policy, Administration, Microsoft Azure, Active directory, Directory"
Software Developer,Tata Consultancy Services,5-10 Yrs,Not Provided,"Bengaluru, Mumbai (All Areas)","Fullstack Development, Angular, Java Fullstack, Java, Software development, Development, Full Stack, Software"
Aws Data Engineer,Tata Consultancy Services,4-9 Yrs,Not Provided,"Hyderabad, Pune, Chennai","Pyspark, Data Engineering, Python, AWS, Data, Engineering"
Industry Consultant-Consulting Services,IBM,5-9 Yrs,Not Provided,"Pune, Bangalore Rural","inform, medidata rave, texturing, consulting, ms dynamics crm, microsoft dynamics, clinical data management, photoshop"
.Net Production Support,Tata Consultancy Services,5-8 Yrs,Not Provided,"Pune, Chennai, Bengaluru","C#, .Net, SQL, .Net Core, Web API, Technical Support, MVC, API"
Fullstack Developer (React js+Node JS),Tata Consultancy Services,5-10 Yrs,Not Provided,"Kolkata, Pune, Bengaluru","OWASP, Node.Js, React.Js, Rest Web Api, jQuery, Express JS, Redux, JavaScript"
Uft Automation Tester,Tata Consultancy Services,4-7 Yrs,Not Provided,"Pune, Chennai, Mumbai (All Areas)","Uft, Uft Automation, Uft Testing, QTP Testing, Alm, Automation, Software testing, Automation testing"
Java Developer,Tata Consultancy Services,5-8 Yrs,Not Provided,"Pune, Chennai, Bengaluru","Java, Kafka, Spring Boot, Microservices, SQL, Java Development, Boot, Development"
Automation Test Engineer,Tata Consultancy Services,8-10 Yrs,Not Provided,"Mumbai, Pune, Bengaluru","Rest Assured, Rest Api Testing, Automation Testing, Selenium, API Testing, Rest, Software testing, API"
SAP BTP CAPM,Tata Consultancy Services,5-10 Yrs,Not Provided,"Hyderabad, Pune, Bengaluru","SAP BTP CAPM, Sap Btp, Node.Js, SAP BTP CAP, Cap, CAPM, SAP"
Azure Data Engineer - Walk in Drive,Tata Consultancy Services,4-9 Yrs,Not Provided,"Pune, Chennai, Bengaluru","Azure Data Factory, Azure Databricks, Python, SQL, Factory, Data, Drives, Microsoft Azure"
Snowflake DE_4+ years_HCL,HCLTech,4-9 Yrs,10-20 Lacs PA,"Hyderabad, Pune, Bengaluru","snowflake, DBT, sql, kafka"
React with next js developer,Tata Consultancy Services,5-10 Yrs,Not Provided,"Kolkata, Pune, Bengaluru","React.Js, Nextjs, Typescript, Javascript, Development"
GN-IC-Software & Platforms-Data Center -Manager,Accenture,5-10 Yrs,Not Provided,Mumbai,"Compliance, Change Management, Finance, Ai, Telecommunication, Upskilling, Tableau, Financial Modeling"
"Java Full Stack Developer (Java, Angular) - Bangalore/ Mumbai/ Pune",Capgemini,5-10 Yrs,Not Provided,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)","Java, Java Fullstack, Angular, Angularjs, angular js, Full Stack, Spring Boot, J2Ee"
Oracle Cloud technical-(OIC)-Senior,Randstad,5-10 Yrs,Not Provided,"Hybrid - Noida, Pune, Bengaluru","Oic, Bip, SQL, Vbcs, Rest Soap, Fbdi, ERP, Oracle Integration Cloud"
Java Agentic AI/GenAI Professionals,Capgemini,8-13 Yrs,Not Provided,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)","Agentic Ai, GenAI, Java, Copilot, MCP, Generative Ai, AI, Spring Boot"
HCL DRYiCE Product _ Sr. NodeJS Full Stack Developer,HCLTech,4-9 Yrs,15-20 Lacs PA,"Hybrid - Noida, Pune, Bengaluru","Vue.Js, Full Stack Developer, Javascript, NodeJS Developer, React.Js, Fullstack Development, Node.Js, Full Stack"
"Sr. Analyst, Supply Chain Development",A.P. Moller Maersk,5-10 Yrs,Not Provided,Navi Mumbai,"Supply chain, Drilling, global operations, Solution sales, Quantitative research, Analytical, Employee engagement, Visio"
Python Developer,Tata Consultancy Services,4-6 Yrs,Not Provided,"Pune, Chennai, Bengaluru","Pandas, Development, Numpy, Python, Pytest, Python Development"
Automation Tester,Tata Consultancy Services,6-9 Yrs,Not Provided,"Pune, Chennai, Bengaluru","Java, Automation Testing, Selenium, Software testing, Automation"
Automation Tester,Tata Consultancy Services,4-6 Yrs,Not Provided,"Pune, Chennai, Bengaluru","Robot Framework, Selenium, Python, SQL, Framework, Automation testing, Software testing, Automation"
ServiceNow - ITOM - Developer,Tata Consultancy Services,8-10 Yrs,Not Provided,"Pune, Bengaluru","Servicenow, Event Management, Itom, Service Mapping, Servicenow Development, Events, Development, Management"
Java Technical Lead,Tata Consultancy Services,8-13 Yrs,Not Provided,"Hyderabad, Pune, Chennai","java, Technical Leadership, Spring Boot, Boot, Technical, Leadership, Spring"
Automation Developer,Tata Consultancy Services,4-7 Yrs,Not Provided,"Pune, Chennai, Bengaluru","C#, Automation, Playwright, .Net, Automation Engineering, Development, Engineering"
Hiring Adobe Experience Platform(AEP) & Adobe Journey Optimizer (AJO),Cognizant,3-5 Yrs,Not Provided,"Pune, Chennai, Bengaluru","AJO, Adobe Experience Platform, Aep, Adobe Journey Optimizer, Adobe, Hiring"
"Azure data Engineer, Azure DevOps",Tata Consultancy Services,5-10 Yrs,Not Provided,"Pune, Chennai, Bengaluru","Azure, Azure Data Engineering, Azure Devops, Microsoft Azure, Engineering, Devops, Data Engineering, Azure Data Factory"
Azure Data Engineer- Walk in Drive,Tata Consultancy Services,4-9 Yrs,Not Provided,"Pune, Chennai, Bengaluru","Pyspark, Azure Databricks, Python, Azure Data Factory, Data, Drives, Microsoft Azure"
Java Developer_D,Tata Consultancy Services,4-9 Yrs,Not Provided,"Pune, Chennai, Bengaluru","Java Spring Boot, Spring Boot, J2ee, Microservices, Java 8, JEE, Backend Development, Backend"
Automation Architect,Tata Consultancy Services,8-12 Yrs,Not Provided,"Pune, Chennai, Bengaluru","Java, Rest Api Testing, Appium, Selenium, Software testing, Architecture, Rest, API Testing"
Data Engineer-Data Modeling,IBM,6-8 Yrs,Not Provided,"Pune, Bangalore Rural, Chennai","modeling, inform, data, data warehousing, dimensional modeling, dbms, data integrity, mobile device management"
Hiring Adobe Experience Platform(AEP) & Adobe Journey Optimizer (AJO),Cognizant,9-12 Yrs,Not Provided,"Pune, Chennai, Bengaluru","AJO, Adobe Experience Platform, Aep, Adobe Journey Optimizer, Adobe, Hiring"
Hiring Adobe Experience Platform(AEP) & Adobe Journey Optimizer (AJO),Cognizant,5-10 Yrs,Not Provided,"Pune, Chennai, Bengaluru","AJO, Adobe Experience Platform, Aep, Adobe Journey Optimizer, Hiring, Adobe"
Angular Lead,Tata Consultancy Services,8-13 Yrs,Not Provided,"Pune, Chennai, Bengaluru","Angular, Angularjs, Angular Development, Angular Framework, Framework, Development"
Dot Net Azure Developer,Tata Consultancy Services,4-9 Yrs,Not Provided,"Hyderabad, Pune, Chennai","C#, .Net Core, Dotnet Azure, ASP.Net, Microsoft Azure, Core, .Net, DoT"
.Net with Azure Developer- Walk in Interview,Tata Consultancy Services,4-9 Yrs,Not Provided,"Pune, Chennai, Bengaluru","C#, .Net Core, Azure Devops, python, Microsoft Azure, Microsoft, Devops, Interviewing"
Java Developer With NodeJS/ReactJS,Tata Consultancy Services,6-8 Yrs,Not Provided,"Pune, Chennai, Bengaluru","Java, Spring Boot, Node.Js, React.Js, Microservices, Boot, Development, Spring"
Sap Native Hana Consultant,Tata Consultancy Services,5-10 Yrs,Not Provided,"Hyderabad, Pune, Delhi / NCR","Sap Hana Modelling, Sap Native Hana, PLSQL, SQL, Native Hana Development, Hana Modelling, Modeling, Hadoop Development"
Salesforce (Vlocity / Omnistudio )Developer,Wipro,4-9 Yrs,Not Provided,"Hybrid - Pune, Chennai, Bengaluru","LWC, Salesforce Lightning, Apex, Sales force development, Salesforce, Vlocity, Lightning, Development"
Tcs Virtual Interview: Sap Fiori Developer || 26th June ||,Tata Consultancy Services,5-10 Yrs,Not Provided,"Chennai, Bengaluru, Mumbai (All Areas)","Fiori Ui, Sapui5, CSS, SAP FIORI, ES6, JavaScript, HTML5, Databinding techniques"
Scrum Master,Tata Consultancy Services,10-15 Yrs,Not Provided,Pune,"Scrum master, Project Management, Agile, MES, SDLC, Manufacturing Execution Systems, Agile Methodology, .Net"
